"Gene.Symbol","EC53.veh","EC53.fs","EC53.bs","EC53.cbd","EC53.iso","EC268.bs","EC268.veh","EC268.iso","EC268.fs","EC291.veh","EC268.cbd","EC291.fs","EC291.bs","EC291.cbd","EC291.iso"
"TALDO1",18564.2,16891.8,17047.4,17020.3,20646,13790.5,10085.8,14471.4,12543.1,14049.7,12753.4,14082.1,15166.6,13974.3,14371.9
"RPS6",15939,16989.1,17202.3,25654.9,17887.1,16129.7,13840.1,16061.7,13154.6,15608.5,17562.8,22587.4,19334,21903.5,18166.6
"CTNNA1",7374.9,7907.6,7359.1,12103.4,8719,7601,5220.2,6124.6,6184.1,7275.3,7238.7,10522.5,8318.5,9793.7,7813.2
"CCT4",9763.6,9695.9,9843.8,13494.2,11021.4,9868.2,7956.2,9292.9,8891.9,10115.7,10187.3,13344.8,10756,12022.5,10367.1
"MDH2",11204.1,10560,10056.7,16088.4,12670.5,11099.3,8124.5,8832.9,9463.2,11432.5,7674.4,10037.1,8469.8,9141.2,8410.9
"SFN",15994.9,19405.3,19420.5,23715.7,18506.9,12282.2,8925.2,11826.2,8758.5,7701.2,7141.6,8084.7,7841.8,7885.7,7581.3
"MYH14",59.1,92.5,89,199.7,85.7,102.7,84,76.5,71.9,77.9,79.9,122.3,70.4,110,88.4
"SPTAN1",8570.2,9580.8,9416.7,12391.3,9958.1,7878.9,5827.5,6745.7,6169.9,6753.9,6616.9,7635.4,7430.4,7603.7,6924.3
"JUP",6674.3,6912.3,7212,10135.1,7019.7,6349.1,5410.9,5247.3,5109.3,5403.9,5058.2,7184.8,5533.2,6435.3,5387.2
"TRIM28",10884.2,11657.5,11681.3,13422.9,11975.4,13146,11126.6,15910.3,12723,13367.5,11967.7,12978.6,13040.8,13698,11406.2
"TPM3",10302.6,9157.9,9492.8,18936.2,12564.2,9802.6,5759.5,6539.9,6118.2,9285.4,7696.1,14062.5,9285.2,11325.7,9078.2
"YWHAQ",11463.1,12229.9,12489.1,13689,12945.6,11975.3,10248.3,12040.2,10202.4,10949.2,11427.6,12502.7,12582.4,12444.9,11901.9
"HNRNPK",14740.2,15492.9,14998.3,17674.2,15495.8,16242.8,13071.7,16531.9,15027.6,15929.4,14244.4,16033.6,15570.6,15427.4,14321.5
"SEPTIN2",177.3,181.8,177.4,174.8,232.3,163.6,184.3,163.8,221.7,204.4,204.5,170.5,187.4,174,185.6
"RPL8",13767.5,15810.9,15002.8,20971.4,14562.3,15827.4,14664.4,19237.7,14593.4,15142.8,15292.8,17939.5,17306.5,18105.4,14022.8
"RPS8",13787.5,11329.9,9265.7,11027.7,12691.6,10661.3,8665.2,8288.8,11473.3,15168.8,9902.3,10926.3,11342.4,10789,11335.6
"RPS27A",20312.3,18486.4,17568.8,23457.9,21165.2,19321.6,16336.1,16868.1,17249.2,21270.4,16726.9,22320.1,20378.4,21729.5,19718.1
"TPI1",10753.8,10767.6,10702.6,16132.9,11841.9,11148,8899.1,9480.8,9500.8,10817.2,9330.7,13756.1,10525.2,11394.7,9702.1
"RPS17",7180.2,7232.9,6925.6,7846.3,7374.9,7869.6,6334.4,7511.6,7328.5,7807.3,7948.1,9779.2,8319.4,8963.9,7947.9
"SEPTIN2",3340.6,3389.4,3276.3,4184.8,3639.6,3267.9,2624.2,2507.6,2400.4,2839.2,3245.2,3856,3342.5,3507,3648.9
"LMNB1",5433.8,6788.6,6647.5,10040.3,6588.6,6761.5,4912.8,7626.6,5117.4,6363.9,5383.7,7754.4,6024.9,7001.1,5302.1
"RPL7A",18165.2,18029.6,17468.8,20464.9,17849.8,19924.4,19388.8,19527.2,19128,20319.2,17719,20955,18979.8,19485.3,18603.4
